time,N_sat,L1,L2,P1,P2,C1
0.358,G30,120140795.610,93616218.117,0,22862027.014,22862025.662
0.367,G11,128803072.913,100366028.505,0,24510409.562,24510411.471
0.367,G13,107157814.351,83499608.559,0,20391446.138,20391447.871
0.367,G15,110506203.081,86108732.910,0,21028628.249,21028629.015
0.367,G17,122488691.585,95445730.854,0,23308818.685,23308819.602
0.367,G18,126666466.882,98701139.588,0,24103824.609,24103826.276
0.367,G19,129840007.845,101174030.095,0,24707731.070,24707733.367
0.367,G20,122631190.158,95556745.785,0,23335939.441,23335940.027
0.367,G24,123427215.494,96177058.088,0,23487418.966,23487417.226
0.367,G28,112226709.656,87449388.143,0,21356025.416,21356027.105
0.367,G30,120231841.430,93687162.885,0,22879352.450,22879351.171
0.375,G11,128767705.253,100338469.325,0,24503679.108,24503681.331
0.375,G13,107187499.557,83522739.887,0,20397094.992,20397096.790
0.375,G15,110479982.634,86088301.391,0,21023638.549,21023639.454
0.375,G17,122404562.191,95380175.502,0,23292809.276,23292810.198
0.375,G18,126631297.242,98673734.669,0,24097131.567,24097134.102
0.375,G19,129722510.778,101082473.958,0,24685371.867,24685374.275
0.375,G20,122711109.831,95619020.785,0,23351147.151,23351147.753
0.375,G24,123329035.397,96100554.149,0,23468735.984,23468734.080
0.375,G28,112275129.429,87487117.836,0,21365239.408,21365241.141
0.375,G30,120323072.736,93758252.182,0,22896713.191,22896711.905
0.383,G11,128732879.788,100311332.559,0,24497052.032,24497054.259
0.383,G13,107217743.687,83546306.739,0,20402850.265,20402852.098
0.383,G15,110454319.026,86068303.768,0,21018754.955,21018755.856
0.383,G17,122320746.472,95314864.599,0,23276859.626,23276860.353
0.383,G18,126596599.570,98646697.549,0,24090529.185,24090531.230
0.383,G19,129605071.815,100990963.123,0,24663023.910,24663026.164
0.383,G20,122791368.044,95681559.693,0,23366419.669,23366421.079
0.383,G24,123230997.272,96024160.829,0,23450079.856,23450077.866
0.383,G28,112323942.311,87525153.848,0,21374528.351,21374529.983
0.383,G30,120414483.943,93829481.673,0,22914108.251,22914106.903
